CODIGO;COD;BLOQ;APTO;CLAVE;CODIGO1;CODPROP;FAC;C_V;PEND;INTP;OTROSP;EXTRAP;MULTAP;SERPUP;SERVIP;NDNCP;ACTUAL;INTA;OTROSA;EXTRAA;MULTAA;SERPUA;SERVIA;NDNCA;TADMI;TINTE;TOTRO;TEXTR;TMULT;TSERP;TSERVI;TNDNC;COEF_URB;COEF_APA;COEF_GAR;COEF_GAR1;COEF_UTIL;COEF_MOD_A;COEF_PQUT;COEF_MOD_B;LECTANT;LECTACT;CONSUMO;COSTO;TOTAL;VALDESC;VALPAG;VALOR;EXTR;MULT;SPP;OTR;SER;NDNC;INT;IDENT
1130;30;1;101;30 1101;;;2265;0;0;0;0;0;0;0;0;0;176600;0;0;40000;0;0;0;0;176600;0;0;40000;0;0;0;0;1,083000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;216600;0;216600;216600;40000;0;0;0;0;0;0;
1130;30;1;102;30 1102;;;2266;1;191900;0;0;40000;0;0;0;0;191900;4610;0;40000;0;0;0;0;0;0;0;0;0;0;0;0;1,176000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;468410;0;0;468410;40000;0;0;0;0;0;0;
1130;30;1;103;30 1103;;;2267;0;0;0;0;0;0;0;0;0;140100;0;33700;40000;0;0;0;0;140100;0;33700;40000;0;0;0;0;0,859000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;213800;0;213800;213800;40000;0;0;33700;0;0;0;
1130;30;1;104;30 1104;;;2268;0;0;0;0;0;0;0;0;0;166500;0;0;40000;0;0;0;0;166500;0;0;40000;0;0;0;0;1,021000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;206500;0;206500;206500;40000;0;0;0;0;0;0;
1130;30;1;201;30 1201;;;2269;0;0;0;0;0;0;0;0;0;176600;0;0;40000;0;0;0;0;354400;4300;0;80000;0;0;0;0;1,083000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;216600;0;438700;216600;40000;0;0;0;0;0;0;
1130;30;1;202;30 1202;;;2270;2;383800;5410;67400;80000;0;0;0;0;191900;10830;33700;40000;0;0;0;0;0;0;0;0;0;0;0;0;1,383000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;813040;0;0;813040;40000;0;0;33700;0;0;0;
1130;30;1;203;30 1203;;;2271;10;1464722;63720;113650;120000;25770;0;0;0;140100;37880;33700;40000;0;0;0;0;0;0;0;0;0;0;0;0;1,066000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;2039542;0;0;2039542;40000;0;0;33700;0;0;0;
1130;30;1;204;30 1204;;;2272;0;0;0;0;0;0;0;0;0;166500;0;0;40000;0;0;0;0;166500;0;0;40000;0;0;0;0;1,021000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;206500;0;206500;206500;40000;0;0;0;0;0;0;
1130;30;1;301;30 1301;;;2273;0;600;0;0;0;0;0;0;0;176600;10;0;40000;0;0;0;0;176000;0;0;40000;0;0;0;0;1,083000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;217210;0;216000;217210;40000;0;0;0;0;0;0;
1130;30;1;302;30 1302;;;2274;0;-400;0;0;0;0;0;0;0;191900;0;33700;40000;0;0;0;0;192300;0;33700;40000;0;0;0;0;1,383000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;265200;0;266000;265200;40000;0;0;33700;0;0;0;
1130;30;1;303;30 1303;;;2275;0;0;0;0;0;0;0;0;0;140100;0;0;40000;0;0;0;0;140100;0;0;40000;0;0;0;0;0,859000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;180100;0;180100;180100;40000;0;0;0;0;0;0;
1130;30;1;304;30 1304;;;2276;9;1436350;54840;0;120000;83250;0;0;0;166500;34470;0;40000;0;0;0;0;0;0;0;0;0;0;0;0;1,021000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;1935410;0;0;1935410;40000;0;0;0;0;0;0;
1130;30;1;401;30 1401;;;2277;0;0;0;0;0;0;0;0;0;176600;0;0;40000;0;0;0;0;176600;0;0;40000;0;0;0;0;1,083000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;216600;0;216600;216600;40000;0;0;0;0;0;0;
1130;30;1;402;30 1402;;;2278;11;2175036;219160;0;120000;0;0;0;0;191900;52200;0;40000;0;0;0;0;0;0;0;0;0;0;0;0;1,176000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;2798296;0;0;2798296;40000;0;0;0;0;0;0;
1130;30;1;403;30 1403;;;2279;4;577700;0;0;0;0;0;0;0;140100;13860;0;40000;0;0;0;0;243650;16350;0;40000;0;0;0;0;0,859000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;771660;0;300000;771660;40000;0;0;0;0;0;0;
1130;30;1;404;30 1404;;;2280;0;-8765;0;0;0;0;0;0;0;166500;0;0;40000;0;0;0;0;1029990;50010;0;120000;0;0;0;0;1,021000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;197735;0;1200000;197735;40000;0;0;0;0;0;0;
1130;30;1;501;30 1501;;;2281;0;8980;0;0;0;0;0;0;0;176600;220;0;40000;0;0;0;0;174830;170;0;40000;0;0;0;0;1,083000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;225800;0;215000;225800;40000;0;0;0;0;0;0;
1130;30;1;502;30 1502;;;2282;4;673180;11550;0;40000;0;0;0;0;191900;16160;0;40000;0;0;0;0;0;0;0;0;0;0;0;0;1,176000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;972790;0;0;972790;40000;0;0;0;0;0;0;
1130;30;1;503;30 1503;;;2283;0;-900;0;0;0;0;0;0;0;140100;0;0;40000;0;0;0;0;141000;0;0;40000;0;0;0;0;0,859000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;179200;0;181000;179200;40000;0;0;0;0;0;0;
1130;30;1;504;30 1504;;;2284;1;240163;0;0;0;0;0;0;0;166500;5760;33700;40000;0;0;0;0;87910;4690;67400;80000;0;0;0;0;1,228000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;486123;0;240000;486123;40000;0;0;33700;0;0;0;
1130;30;2;101;30 2101;;;2285;0;10;0;0;0;0;0;0;0;176600;0;0;40000;0;62900;0;0;176890;10;0;40000;0;62900;0;0;1,083000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;279510;0;279800;279510;40000;0;62900;0;0;0;0;
1130;30;2;102;30 2102;;;2286;0;0;0;0;0;0;0;0;0;191900;0;33700;40000;0;0;0;0;191900;0;33700;40000;0;0;0;0;1,383000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;265600;0;265600;265600;40000;0;0;33700;0;0;0;
1130;30;2;201;30 2201;;;2287;0;29190;0;0;0;0;0;0;0;176600;700;0;40000;0;62900;0;0;166640;460;0;40000;0;62900;0;0;1,083000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;309390;0;270000;309390;40000;0;62900;0;0;0;0;
1130;30;2;202;30 2202;;;2288;0;0;0;0;0;0;0;0;0;191900;0;0;40000;0;0;0;0;191900;0;0;40000;0;0;0;0;1,176000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;231900;0;231900;231900;40000;0;0;0;0;0;0;
1130;30;2;301;30 2301;;;2289;0;0;0;0;0;0;0;0;0;176600;0;0;40000;0;62900;0;0;176600;0;0;40000;0;62900;0;0;1,083000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;279500;0;279500;279500;40000;0;62900;0;0;0;0;
1130;30;2;302;30 2302;;;2290;0;0;0;0;0;0;0;0;0;191900;0;0;40000;0;62900;0;0;191900;0;0;40000;0;62900;0;0;1,176000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;294800;0;294800;294800;40000;0;62900;0;0;0;0;
1130;30;2;401;30 2401;;;2291;4;634472;0;0;0;0;0;0;0;176600;15230;0;40000;0;0;0;0;173750;26250;0;80000;0;0;0;0;1,083000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;866302;0;280000;866302;40000;0;0;0;0;0;0;
1130;30;2;402;30 2402;;;2292;0;81580;0;0;0;0;0;0;0;191900;1960;0;40000;0;0;0;0;110000;0;0;40000;0;0;0;0;1,176000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;315440;0;150000;315440;40000;0;0;0;0;0;0;
1130;30;2;501;30 2501;;;2293;0;0;0;0;0;0;0;0;0;176600;0;0;40000;0;0;0;0;176600;0;0;40000;0;0;0;0;1,083000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;216600;0;216600;216600;40000;0;0;0;0;0;0;
1130;30;2;502;30 2502;;;2294;0;0;0;0;0;0;0;0;0;191900;0;0;40000;0;0;0;0;191900;0;0;40000;0;0;0;0;1,176000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;231900;0;231900;231900;40000;0;0;0;0;0;0;
1130;30;3;101;30 3101;;;2295;1;176600;0;0;40000;0;62900;8500;0;176600;5950;0;40000;0;62900;8500;0;0;0;0;0;0;0;0;0;1,083000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;581950;0;0;581950;40000;0;62900;0;8500;0;0;
1130;30;3;102;30 3102;;;2296;0;0;0;0;0;0;0;0;0;191900;0;0;40000;0;62900;0;0;191560;0;0;40000;0;62900;0;0;1,176000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;294800;0;294460;294800;40000;0;62900;0;0;0;0;
1130;30;3;103;30 3103;;;2297;0;0;0;0;0;0;0;0;0;140100;0;0;40000;0;0;0;0;140100;0;0;40000;0;0;0;0;0,859000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;180100;0;180100;180100;40000;0;0;0;0;0;0;
1130;30;3;104;30 3104;;;2298;0;0;0;0;0;0;0;0;0;166500;0;33700;40000;0;62900;0;0;166500;0;33700;40000;0;62900;0;0;1,228000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;303100;0;303100;303100;40000;0;62900;33700;0;0;0;
1130;30;3;201;30 3201;;;2299;0;0;0;0;0;0;0;0;0;176600;0;0;40000;0;0;0;0;176600;0;0;40000;0;0;0;0;1,083000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;216600;0;216600;216600;40000;0;0;0;0;0;0;
1130;30;3;202;30 3202;;;2300;0;47940;0;0;0;0;0;0;0;191900;1150;33700;40000;0;0;0;0;719660;27240;134800;120000;118300;0;0;0;1,383000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;314690;0;1120000;314690;40000;0;0;33700;0;0;0;
1130;30;3;203;30 3203;;;2301;0;0;0;0;0;0;0;0;0;140100;0;0;40000;0;0;0;0;140100;0;0;40000;0;0;0;0;0,859000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;180100;0;180100;180100;40000;0;0;0;0;0;0;
1130;30;3;204;30 3204;;;2302;0;0;0;0;0;0;0;0;0;166500;0;0;40000;0;0;0;0;166500;0;0;40000;0;0;0;0;1,021000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;206500;0;206500;206500;40000;0;0;0;0;0;0;
1130;30;3;301;30 3301;;;2303;17;2984221;158590;0;120000;176600;0;0;0;176600;71620;0;40000;0;0;0;0;0;0;0;0;0;0;0;0;1,083000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;3727631;0;0;3727631;40000;0;0;0;0;0;0;
1130;30;3;302;30 3302;;;2304;19;3713400;900350;731900;120000;225600;0;0;0;191900;106690;33700;40000;0;0;0;0;0;0;0;0;0;0;0;0;1,383000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;6063540;0;0;6063540;40000;0;0;33700;0;0;0;
1130;30;3;303;30 3303;;;2305;0;0;0;0;0;0;0;0;0;140100;0;0;40000;0;62900;0;0;140100;0;0;40000;0;62900;0;0;0,859000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;243000;0;243000;243000;40000;0;62900;0;0;0;0;
1130;30;3;304;30 3304;;;2306;0;0;0;0;0;0;0;0;0;166500;0;33700;40000;0;0;0;0;166500;0;33700;40000;0;0;0;0;1,228000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;240200;0;240200;240200;40000;0;0;33700;0;0;0;
1130;30;3;401;30 3401;;;2307;0;12360;0;0;0;0;0;0;0;176600;300;33700;40000;0;0;0;0;385970;7230;67400;80000;0;0;0;0;1,290000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;262960;0;540600;262960;40000;0;0;33700;0;0;0;
1130;30;3;402;30 3402;;;2308;4;763152;0;0;0;0;0;0;0;191900;18320;33700;40000;0;0;0;0;122890;29710;67400;80000;0;0;0;0;1,383000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;1047072;0;300000;1047072;40000;0;0;33700;0;0;0;
1130;30;3;403;30 3403;;;2309;0;0;0;0;0;0;0;0;0;140100;0;0;40000;0;0;4300;0;139700;0;0;40000;0;0;4300;0;0,859000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;184400;0;184000;184400;40000;0;0;0;4300;0;0;
1130;30;3;404;30 3404;;;2310;0;0;0;0;0;0;0;0;0;166500;0;0;40000;0;0;0;0;33000;0;0;80000;0;0;0;0;1,021000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;206500;0;113000;206500;40000;0;0;0;0;0;0;
1130;30;3;501;30 3501;;;2311;-1;-147400;0;67400;80000;0;0;0;0;176600;0;33700;40000;0;0;0;0;0;0;0;0;0;0;0;0;1,290000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;250300;0;0;250300;40000;0;0;33700;0;0;0;
1130;30;3;502;30 3502;;;2312;0;-80000;0;0;80000;0;0;0;0;191900;0;0;40000;0;0;0;0;0;0;0;0;0;0;0;0;1,176000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;231900;0;0;231900;40000;0;0;0;0;0;0;
1130;30;3;503;30 3503;;;2313;1;140100;0;0;40000;0;0;0;0;140100;3360;0;40000;0;0;0;0;0;0;0;0;0;0;0;0;0,859000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;363560;0;0;363560;40000;0;0;0;0;0;0;
1130;30;3;504;30 3504;;;2314;2;273000;0;0;40000;0;0;0;0;166500;0;0;40000;0;0;0;0;0;0;0;0;0;0;0;0;1,021000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;519500;0;0;519500;40000;0;0;0;0;0;0;
1130;30;4;101;30 4101;;;2315;5;716790;13840;0;40000;0;0;0;0;140100;17200;0;40000;0;0;0;0;0;0;0;0;0;0;0;0;0,859000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;967930;0;0;967930;40000;0;0;0;0;0;0;
1130;30;4;102;30 4102;;;2316;2;250520;2020;0;40000;0;0;0;0;166500;6010;0;40000;0;0;0;0;0;0;0;0;0;0;0;0;1,021000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;505050;0;0;505050;40000;0;0;0;0;0;0;
1130;30;4;103;30 4103;;;2317;1;122920;0;0;0;0;0;0;0;196300;2950;33700;40000;0;0;0;0;154360;1940;33700;40000;0;0;0;0;1,410000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000;0,000;0,000;0;395870;0;230000;395870;40000;0;0;33700;0;0;0;
